subject,body,label
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Your Bill is Due Soon,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Your Subscription is Expiring,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Reminder: Appointment,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
New Policy Updates,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Flight Confirmation,This is a reminder for your dentist appointment scheduled next week.,not event
Your Bill is Due Soon,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Flight Confirmation,Your subscription to our premium service is about to expire. Renew now.,not event
Meeting Scheduled,Important updates regarding our new policies. Please review them carefully.,not event
Webinar on AI Trends,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Order Has Shipped,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Special Offer Just for You,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Order Has Shipped,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Upcoming Tech Conference,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Holiday Discount Codes,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Flight Confirmation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Networking Event Invitation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Subscription is Expiring,Your subscription to our premium service is about to expire. Renew now.,not event
Your Order Has Shipped,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Workshop Registration,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Workshop Registration,Your subscription to our premium service is about to expire. Renew now.,not event
Reminder: Appointment,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Upcoming Tech Conference,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Charity Event Details,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Special Offer Just for You,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Reminder: Appointment,Your subscription to our premium service is about to expire. Renew now.,not event
New Policy Updates,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Webinar on AI Trends,This is a reminder for your dentist appointment scheduled next week.,not event
Your Order Has Shipped,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Subscription is Expiring,Your subscription to our premium service is about to expire. Renew now.,not event
Upcoming Tech Conference,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Webinar on AI Trends,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Subscription is Expiring,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Webinar on AI Trends,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Special Offer Just for You,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Subscription is Expiring,Important updates regarding our new policies. Please review them carefully.,not event
Reminder: Appointment,This is a reminder for your dentist appointment scheduled next week.,not event
Workshop Registration,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Webinar on AI Trends,Your subscription to our premium service is about to expire. Renew now.,not event
Charity Event Details,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
New Policy Updates,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
New Policy Updates,Your subscription to our premium service is about to expire. Renew now.,not event
Upcoming Tech Conference,Important updates regarding our new policies. Please review them carefully.,not event
Your Order Has Shipped,Important updates regarding our new policies. Please review them carefully.,not event
Flight Confirmation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Holiday Discount Codes,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Holiday Discount Codes,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Your Order Has Shipped,This is a reminder for your dentist appointment scheduled next week.,not event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Upcoming Tech Conference,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Special Offer Just for You,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Subscription is Expiring,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Flight Confirmation,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Charity Event Details,Your subscription to our premium service is about to expire. Renew now.,not event
Flight Confirmation,Your subscription to our premium service is about to expire. Renew now.,not event
Upcoming Tech Conference,Your subscription to our premium service is about to expire. Renew now.,not event
Workshop Registration,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Special Offer Just for You,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Workshop Registration,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Order Has Shipped,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
New Policy Updates,Your subscription to our premium service is about to expire. Renew now.,not event
Your Bill is Due Soon,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Meeting Scheduled,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,Important updates regarding our new policies. Please review them carefully.,not event
Exclusive Music Festival Invite,Your subscription to our premium service is about to expire. Renew now.,not event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Holiday Discount Codes,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Reminder: Appointment,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Flight Confirmation,Your subscription to our premium service is about to expire. Renew now.,not event
Webinar on AI Trends,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Subscription is Expiring,Your recent order has been shipped and will arrive in 5-7 business days.,not event
New Policy Updates,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Upcoming Tech Conference,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Workshop Registration,Important updates regarding our new policies. Please review them carefully.,not event
Upcoming Tech Conference,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Order Has Shipped,Your subscription to our premium service is about to expire. Renew now.,not event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Your Order Has Shipped,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Networking Event Invitation,Your subscription to our premium service is about to expire. Renew now.,not event
Holiday Discount Codes,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Bill is Due Soon,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Networking Event Invitation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Flight Confirmation,Important updates regarding our new policies. Please review them carefully.,not event
Networking Event Invitation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Meeting Scheduled,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Subscription is Expiring,Your subscription to our premium service is about to expire. Renew now.,not event
Your Bill is Due Soon,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Special Offer Just for You,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Meeting Scheduled,This is a reminder for your dentist appointment scheduled next week.,not event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Charity Event Details,Important updates regarding our new policies. Please review them carefully.,not event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
New Policy Updates,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Flight Confirmation,Important updates regarding our new policies. Please review them carefully.,not event
Your Order Has Shipped,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Subscription is Expiring,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Subscription is Expiring,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Workshop Registration,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Networking Event Invitation,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Meeting Scheduled,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Workshop Registration,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Holiday Discount Codes,Your subscription to our premium service is about to expire. Renew now.,not event
Your Order Has Shipped,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Workshop Registration,This is a reminder for your dentist appointment scheduled next week.,not event
Reminder: Appointment,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Reminder: Appointment,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Meeting Scheduled,This is a reminder for your dentist appointment scheduled next week.,not event
Special Offer Just for You,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Networking Event Invitation,Important updates regarding our new policies. Please review them carefully.,not event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Reminder: Appointment,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Special Offer Just for You,This is a reminder for your dentist appointment scheduled next week.,not event
Charity Event Details,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
New Policy Updates,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Exclusive Music Festival Invite,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Meeting Scheduled,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Charity Event Details,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Flight Confirmation,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Workshop Registration,Important updates regarding our new policies. Please review them carefully.,not event
Networking Event Invitation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Flight Confirmation,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Upcoming Tech Conference,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Holiday Discount Codes,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Workshop Registration,Important updates regarding our new policies. Please review them carefully.,not event
Your Subscription is Expiring,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Special Offer Just for You,Important updates regarding our new policies. Please review them carefully.,not event
Your Bill is Due Soon,Your subscription to our premium service is about to expire. Renew now.,not event
Exclusive Music Festival Invite,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Workshop Registration,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Your Subscription is Expiring,Your subscription to our premium service is about to expire. Renew now.,not event
Exclusive Music Festival Invite,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,Your subscription to our premium service is about to expire. Renew now.,not event
Your Order Has Shipped,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Flight Confirmation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Workshop Registration,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
Webinar on AI Trends,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Flight Confirmation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Subscription is Expiring,This is a reminder for your dentist appointment scheduled next week.,not event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Bill is Due Soon,Important updates regarding our new policies. Please review them carefully.,not event
Holiday Discount Codes,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Webinar on AI Trends,Important updates regarding our new policies. Please review them carefully.,not event
Meeting Scheduled,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Networking Event Invitation,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Subscription is Expiring,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,This is a reminder for your dentist appointment scheduled next week.,not event
Your Bill is Due Soon,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Bill is Due Soon,Your subscription to our premium service is about to expire. Renew now.,not event
New Policy Updates,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Workshop Registration,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Subscription is Expiring,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Reminder: Appointment,Important updates regarding our new policies. Please review them carefully.,not event
New Policy Updates,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Webinar on AI Trends,Important updates regarding our new policies. Please review them carefully.,not event
Holiday Discount Codes,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,Your subscription to our premium service is about to expire. Renew now.,not event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Flight Confirmation,This is a reminder for your dentist appointment scheduled next week.,not event
Networking Event Invitation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Networking Event Invitation,This is a reminder for your dentist appointment scheduled next week.,not event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Meeting Scheduled,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Workshop Registration,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Bill is Due Soon,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Your Bill is Due Soon,This is a reminder for your dentist appointment scheduled next week.,not event
Webinar on AI Trends,Important updates regarding our new policies. Please review them carefully.,not event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Networking Event Invitation,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Webinar on AI Trends,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Order Has Shipped,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Your Bill is Due Soon,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Webinar on AI Trends,This is a reminder for your dentist appointment scheduled next week.,not event
Upcoming Tech Conference,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,Important updates regarding our new policies. Please review them carefully.,not event
Networking Event Invitation,Your subscription to our premium service is about to expire. Renew now.,not event
Exclusive Music Festival Invite,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Webinar on AI Trends,Your subscription to our premium service is about to expire. Renew now.,not event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Holiday Discount Codes,Important updates regarding our new policies. Please review them carefully.,not event
Exclusive Music Festival Invite,Important updates regarding our new policies. Please review them carefully.,not event
Your Order Has Shipped,Your subscription to our premium service is about to expire. Renew now.,not event
Webinar on AI Trends,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Workshop Registration,Your subscription to our premium service is about to expire. Renew now.,not event
Networking Event Invitation,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Upcoming Tech Conference,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Networking Event Invitation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Holiday Discount Codes,Your recent order has been shipped and will arrive in 5-7 business days.,not event
New Policy Updates,This is a reminder for your dentist appointment scheduled next week.,not event
Reminder: Appointment,Important updates regarding our new policies. Please review them carefully.,not event
Meeting Scheduled,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Workshop Registration,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Webinar on AI Trends,This is a reminder for your dentist appointment scheduled next week.,not event
Meeting Scheduled,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Your Order Has Shipped,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Charity Event Details,This is a reminder for your dentist appointment scheduled next week.,not event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Charity Event Details,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Networking Event Invitation,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
