,sentence,sentence_annotation,intent,action,scenario,labels
89,remind me about the upcoming national holiday,remind me about the [event_name : upcoming national holiday],calendar_set,set,calendar,8
90,clear my schedule for today,clear my schedule for [date : today],calendar_remove,remove,calendar,7
91,play my second playlist,play my [playlist_name : second playlist],play_music,music,play,46
92,go to youtube and play me the best wedding songs collection,go to [media_type : youtube] and play me the [playlist_name : best wedding songs] collection,play_music,music,play,46
93,can i wear shorts out while shopping today,can i wear [weather_descriptor : shorts] out while shopping [date : today],weather_query,query,weather,70
94,when is bruno mars coming to sacramento,when is [person : bruno mars] coming to [place_name : sacramento],calendar_query,query,calendar,6
95,i want to listen to my playlist will you play it now,i want to listen to my playlist will you play it now,play_music,music,play,46
96,what time does the train leave philadelphia,what time does the [transport_type : train] leave [place_name : philadelphia],transport_query,query,transport,66
97,what things can't you do,what things can't you do,general_quirky,quirky,general,21
98,send email to enalen i'm going to send the files the next day,send email to [person : enalen] i'm going to send the files the [date : next day],email_sendemail,sendemail,email,17
99,tune a radio channel for good jokes,tune a radio channel for [radio_name : good jokes],play_radio,radio,play,48
100,what day of the week does the twenty second fall on this month,what day of the week does the [date : twenty second] fall on [date : this month],datetime_query,query,datetime,13
101,repurchase last train ticket to phillyx,repurchase last [transport_type : train] ticket to [place_name : phillyx],transport_ticket,ticket,transport,68
102,open my most recent email and reply,open my most recent email and reply,email_sendemail,sendemail,email,17
103,what is the exchange rate of u. s. d. to cad,what is the exchange rate of [currency_name : u. s. d.] to [currency_name : cad],qa_currency,currency,qa,51
104,buy me today train ticket to city leeds,buy me [date : today] [transport_type : train] ticket to city [place_name : leeds],transport_ticket,ticket,transport,68
105,google,google,qa_maths,maths,qa,54
106,meaning of a particular word,meaning of a particular word,general_quirky,quirky,general,21
107,when is the next appointment on my calendar,when is the next [event_name : appointment] on my calendar,calendar_query,query,calendar,6
108,end this podcast start anew,end this podcast start anew,play_podcasts,podcasts,play,47
109,i want to know who is at the top of the english premier league at the moment,i want to know who is at the top of the [news_topic : english premier league] at the moment,news_query,query,news,43
110,who did i email recently,who did i email recently,email_query,query,email,15
111,what's the best clothes store here,what's the best [business_type : clothes store] here,recommendation_locations,locations,recommendation,59
112,i want to listen to soft rock,i want to listen to [music_genre : soft rock],play_music,music,play,46
113,add my sister visiting to my family calendar,add my [event_name : sister visiting] to my [event_name : family] calendar,calendar_set,set,calendar,8
114,cancel my five pm daily call,cancel my [time : five pm] [general_frequency : daily] [event_name : call],calendar_remove,remove,calendar,7
115,my favorite singer is shakira,my favorite singer is [artist_name : shakira],music_likeness,likeness,music,40
116,olly send a tweet to company,olly send a [media_type : tweet] to company,post,post,social,50
117,book ticket to depart in the morning,book ticket to depart in the [timeofday : morning],transport_ticket,ticket,transport,68
118,email the following message to this contact please,email the following message to this contact please,email_sendemail,sendemail,email,17
119,what is the seattle city council doing about homelessness,what is the [place_name : seattle] [news_topic : city council doing about homelessness],news_query,query,news,43
120,how do i get to poughkeepsie from new york city,how do i get to [place_name : poughkeepsie] from [place_name : new york city],transport_query,query,transport,66
121,i would like coffee now,i would like coffee now,iot_coffee,coffee,iot,26
122,tell me the date today,tell me the date [date : today],datetime_query,query,datetime,13
123,check emails from jane doe,check emails from [person : jane doe],email_query,query,email,15
124,what is the schedule of the next maggie rogers concert,what is the schedule of the next [event_name : maggie rogers concert],calendar_query,query,calendar,6
125,high stock price,high stock price,qa_stock,stock,qa,55
126,report any new emails,report any new emails,email_query,query,email,15
127,post to tumblr i'm having fun,post to [media_type : tumblr] i'm having fun,social_post,post,social,62
128,open clock,open clock,alarm_set,set,alarm,2
129,get recipe for making a hotdog,get recipe for making a [food_type : hotdog],cooking_recipe,recipe,cooking,11
130,what is your favorite color,what is your favorite color,general_quirky,quirky,general,21
131,heating levels at what times in the apt,heating levels at what times in [place_name : the apt],general_quirky,quirky,general,21
132,funny joke,[joke_type : funny] joke,general_joke,joke,general,20
133,tweet consumer service that i am very disappointed with my recent interaction,[media_type : tweet] [business_name : consumer service] that i am very disappointed with my recent interaction,social_post,post,social,62
134,email tom,email [person : tom],email_sendemail,sendemail,email,17
135,define yourself in one word,define yourself in one word,general_quirky,quirky,general,21
136,give me best cooking ideas,give me best cooking ideas,cooking_recipe,recipe,cooking,11
137,can you please add my dinner reservations to my calendar,can you please add my [event_name : dinner reservations] to my calendar,calendar_set,set,calendar,8
138,tell me the date of inauguration of my friend sams business,tell me the date of [event_name : inauguration] of my [relation : friend] [person : sams] business,calendar_query,query,calendar,6
139,decrease lighting,decrease lighting,iot_hue_lightdim,hue_lightdim,iot,28
140,play snake with me,play [game_name : snake] with me,play_game,game,play,45
141,what day of the week is twelfth,what day of the week is [date : twelfth],datetime_query,query,datetime,13
142,show my upcoming events,show my upcoming events,calendar_query,query,calendar,6
143,show me the last episode,show me the last episode,play_podcasts,podcasts,play,47
144,alert me in three hours,alert me in [time : three hours],alarm_set,set,alarm,2
145,what is home town weather,what is [place_name : home town] weather,weather_query,query,weather,70
146,let me know if i have new emails,let me know if i have new emails,email_query,query,email,15
147,add to the calendar a reunion event for this afternoon,add to the calendar a [event_name : reunion] event for [timeofday : this afternoon],calendar_set,set,calendar,8
148,show me all the events happening in milan,show me all the events happening in [place_name : milan],recommendation_events,events,recommendation,58
149,which day will be rainy in this week,which day will be [weather_descriptor : rainy] in [date : this week],weather_query,query,weather,70
150,tell me what's happening in european politics,tell me what's happening in [news_topic : european politics],news_query,query,news,43
151,i need to go to lyon book a train ticket,i need to go to [place_name : lyon] book a [transport_type : train] ticket,transport_ticket,ticket,transport,68
152,olly book a ticket to paris on eurostar at five pm this friday,olly book a ticket to [place_name : paris] on [transport_name : eurostar] at [time : five pm] [date : this Friday],transport_ticket,ticket,transport,68
153,my weekly plan,My weekly plan,calendar_query,query,calendar,6
154,remove the list of things to do,remove the list of [list_name : things to do],lists_remove,remove,lists,37
155,what is twenty four times twenty four,what is twenty four times twenty four,qa_maths,maths,qa,54
156,list the availables,list the availables,lists_query,query,lists,36
157,what is the definition of a home run,what is the definition of a [definition_word : home run],qa_definition,definition,qa,52
158,reply to all,reply to all,email_sendemail,sendemail,email,17
159,take me to the huffington post website,take me to the [media_type : huffington post] website,social_post,post,social,62
160,do i have any reminders today,do i have any reminders [date : today],calendar_query,query,calendar,6
161,what events do i have coming up,what events do i have coming up,calendar_query,query,calendar,6
162,pull up the headlines please,pull up the headlines please,news_query,query,news,43
163,could you tell me what time it is,could you tell me what time it is,datetime_query,query,datetime,13
164,do i have an alarm set,do i have an alarm set,alarm_query,query,alarm,0
165,has any personal emails come in yet,has any personal emails come in yet,email_query,query,email,15
166,is there going to be any flip flop weather soon,is there going to be any [weather_descriptor : flip flop weather] soon,weather_query,query,weather,70
167,could you please lower the tone,could you please lower the tone,audio_volume_down,volume_down,audio,3
168,how is the traffic near me,how is the traffic near me,transport_traffic,traffic,transport,69
169,who is leading the formula one race right now,who is leading the [news_topic : formula one] race right now,news_query,query,news,43
170,tell me which catering packages are available,tell me which catering packages are available,takeaway_query,query,takeaway,65
171,what us state is farthest north,what us state is farthest north,qa_factoid,factoid,qa,53
172,where is the nearest pub in the city,where is the nearest [business_type : pub] in the [place_name : city],recommendation_locations,locations,recommendation,59
173,remember to fix a meeting between me and the players tomorrow evening by seven,remember to fix a [event_name : meeting] between me and the [person : players] [date : tomorrow] [timeofday : evening] by [time : seven],calendar_set,set,calendar,8
174,i would like it to easily keep an inventory and tell me when i'm running low on something,i would like it to easily keep an inventory and tell me when i'm running low on something,general_quirky,quirky,general,21
175,read me the news for the day,read me the news for the day,news_query,query,news,43
176,i don't want this list any more,i don't want this list any more,lists_remove,remove,lists,37
177,rearrange that off the list,rearrange that off the list,lists_remove,remove,lists,37
178,play my top rated pop songs please,play my [music_descriptor : top rated] [music_genre : pop] songs please,play_music,music,play,46
179,flag two day after this day as my holiday,flag [date : two day after this day] as [event_name : my holiday],calendar_set,set,calendar,8
180,nine hundred and ninety nine fm is currently playing what music,nine hundred and ninety nine fm is currently playing what music,music_query,query,music,41
181,tell me when there is new news from my local news,tell me when there is new news from my local news,news_query,query,news,43
182,find joel osteen's broadcast on sirius,find joel osteen's broadcast on [app_name : sirius],play_radio,radio,play,48
183,make an alarm for three pm,make an alarm for [time : three pm],alarm_set,set,alarm,2
184,what's worth watching,what's worth watching,recommendation_movies,movies,recommendation,60
185,remove that item from my list,remove that item from my list,lists_remove,remove,lists,37
186,remove alarms set for tomorrow,remove alarms set for [date : tomorrow],alarm_remove,remove,alarm,1
187,if i have five u. s. d. how much is that in aud,if i have five [currency_name : u. s. d.] how much is that in [currency_name : aud],qa_currency,currency,qa,51
188,closest chipotle,closest [business_name : chipotle],takeaway_order,order,takeaway,64
189,please submit status to facebook,please submit status to [media_type : facebook],social_post,post,social,62
190,after this play me rebel yell,after this play me [song_name : rebel yell],play_music,music,play,46
191,i want to reply to jean's email,i want to reply to [person : jean's] email,email_sendemail,sendemail,email,17
192,remind me about my biology test at fsu on friday,remind me about my [event_name : biology test] at [place_name : fsu] on [date : friday],calendar_set,set,calendar,8
193,please look up exchange between us and mexico,please look up exchange between us and mexico,qa_currency,currency,qa,51
194,send this message to @microsoft on twitter,send this message to [business_name : @microsoft] on twitter,social_post,post,social,62
195,remind me to pick up the laundry next monday,remind me to [event_name : pick up the laundry] next [date : monday],calendar_set,set,calendar,8
196,play music from my favorite artist,play music from my favorite artist,play_music,music,play,46
197,add something to my list,add something to my list,lists_createoradd,createoradd,lists,35
198,what new movies available today,what new movies available [date : today],recommendation_movies,movies,recommendation,60
199,what are movies that are playing near me with high reviews,what are movies that are playing near me with high reviews,recommendation_movies,movies,recommendation,60
200,list all train time to ny,list all [transport_type : train] time to [place_name : ny],transport_query,query,transport,66
201,by ten to eleven am daily start my vacuum cleaner,by [time : ten] to [time : eleven am] [general_frequency : daily] start my [device_type : vacuum cleaner],cleaning,cleaning,iot,9
202,ten day forecast,[time : ten day] forecast,weather_query,query,weather,70
203,it's very tough one,it's very tough one,general_quirky,quirky,general,21
204,create a new list for me please,create a new list for me please,lists_createoradd,createoradd,lists,35
205,what is the time in zimbabwe right now,what is the time in [place_name : zimbabwe] right now,datetime_query,query,datetime,13
206,new tweet,new [media_type : tweet],social_post,post,social,62
207,put on cannibal queen,put on [song_name : cannibal queen],play_music,music,play,46
208,play episode of stuff you should know in queue,play episode of [podcast_name : stuff] you should know in queue,play_podcasts,podcasts,play,47
209,searching for recent happenings on the particular dates,searching for recent happenings on the particular dates,recommendation_events,events,recommendation,58
210,please resume this playback in audiobook,please [player_setting : resume] this playback in [media_type : audiobook],play_audiobook,audiobook,play,44
211,get me some radio music from kamp fm,get me some radio [media_type : music] from [radio_name : kamp fm],play_radio,radio,play,48
212,hey olly how do i start the robot vacuum cleaner,hey olly how do i start the [device_type : robot vacuum cleaner],iot_cleaning,cleaning,iot,25
213,please add tom to my contact list,please add [person : tom] to my contact list,email_addcontact,addcontact,email,14
214,i want to wake up at six am tomorrow please,i want to wake up at [time : six am] [date : tomorrow] please,alarm_set,set,alarm,2
215,remember me to meet reveca today at six pm,remember me to [event_name : meet] [person : reveca] [date : today] at [time : six pm],calendar_set,set,calendar,8
216,look for a pizza recipe,look for a [food_type : pizza] recipe,cooking_recipe,recipe,cooking,11
217,what is the status on my latest order,what is the status on my latest order,takeaway_query,query,takeaway,65
218,please help me turn on the robot vacuum cleaner,please help me turn on the [device_type : robot vacuum cleaner],iot_cleaning,cleaning,iot,25
219,tallest building,tallest building,qa_factoid,factoid,qa,53
220,please tell me how can i remove the item,please tell me how can I remove the item,lists_remove,remove,lists,37
221,by proper formula,by proper formula,weather_query,query,weather,70
222,resume the last kingdom for me,[player_setting : resume] [audiobook_name : the last kingdom] for me,play_audiobook,audiobook,play,44
223,reply back to this email,reply back to this email,email_sendemail,sendemail,email,17
224,can i know the breaking news from cnn,can i know the breaking news from [media_type : cnn],news_query,query,news,43
225,do i have anything going on this saturday between two and four pm,do i have anything going on this [date : Saturday] between [time : two] and [time : four pm],calendar_query,query,calendar,6
226,get me a train ticket to chicago today,get me a [transport_type : train] ticket to [place_name : chicago] [date : today],transport_ticket,ticket,transport,68
227,please tell few details about this person,please tell few details about this person,general_quirky,quirky,general,21
228,read my unread emails,read my unread emails,email_query,query,email,15
229,set an appointment for allen on tomorrow,set an [event_name : appointment] for [person : allen] on [date : tomorrow],calendar_set,set,calendar,8
230,can i get delivery from here,can i get [order_type : delivery] from here,takeaway_query,query,takeaway,65
231,please refresh my gmail inbox,please refresh my gmail [email_folder : inbox],email_query,query,email,15
232,siri cancel yoga alarms,siri cancel yoga alarms,alarm_remove,remove,alarm,1
233,do you hear songs of arrahman music,do you hear songs of [artist_name : arrahman] music,music_query,query,music,41
234,i am really craving for chinese food right now please let me order take out,i am really craving for [food_type : chinese] food right now please let me order take out,takeaway_order,order,takeaway,64
235,do i have any reminders pending,do i have any reminders pending,calendar_query,query,calendar,6
236,please let me know the time of train northern rail,please let me know the time of [transport_type : train] [transport_name : northern rail],transport_query,query,transport,66
237,remember dinner on thursday at bistro italia,remember [meal_type : dinner] on [date : thursday] at [place_name : bistro italia],calendar_set,set,calendar,8
238,is tom cruise an only child,is [person : tom cruise] an only child,qa_factoid,factoid,qa,53
239,please show me weather on twenty seventh march two thousand seventeen,please show me weather on [date : twenty seventh march two thousand seventeen],weather_query,query,weather,70
240,i want some music how about playing my workout playlist,i want some music how about playing my [playlist_name : workout playlist],play_music,music,play,46
241,how is the traffic from home to work,how is the traffic from [place_name : home] to work,transport_traffic,traffic,transport,69
242,what is this week's weather forecast,what is [date : this week's] weather forecast,weather_query,query,weather,70
243,am or pm,am or pm,alarm_query,query,alarm,0
244,olly turn the lights down to seven,olly turn the lights down [change_amount : to seven],iot_hue_lightdim,hue_lightdim,iot,28
245,what is the latest gossip of hollywood going on,what is the latest gossip of [news_topic : hollywood] going on,news_query,query,news,43
246,tell me the exchange rate of ten dollar to euro,tell me the exchange rate of ten [currency_name : dollar] to [currency_name : euro],qa_currency,currency,qa,51
247,will it rain at all this week,will it [weather_descriptor : rain] at all [date : this week],weather_query,query,weather,70
248,play recently added audiobook,play recently added [media_type : audiobook],play_audiobook,audiobook,play,44
249,make an event reminder for monas wedding on tuesday,make an event reminder for [event_name : monas wedding] on [date : tuesday],calendar_set,set,calendar,8
250,what is the name of this musical group,what is the name of this musical group,music_query,query,music,41
251,power off the current,power off the current,iot_hue_lightoff,hue_lightoff,iot,29
252,please play my favorite song by bruno mars,please play my favorite song by [artist_name : bruno mars],play_music,music,play,46
253,read the headlines from new york times,read the headlines from [media_type : new york times],news_query,query,news,43
254,resume my audiobook from the beginning of the last chapter i started,[player_setting : resume] my [media_type : audiobook] from the beginning of the last chapter i started,play_audiobook,audiobook,play,44
255,olly what's my agenda for the remainder of the week,olly what's my agenda for the [time : remainder of the week],query,query,calendar,56
256,turn the volume up,turn the volume up,audio_volume_up,volume_up,audio,5
257,what's going on around the neighborhood,what's going on [place_name : around the neighborhood],recommendation_events,events,recommendation,58
258,what is the time in new york,what is the time in [place_name : new york],datetime_query,query,datetime,13
259,what is the name of the music playing now,what is the name of the music playing now,music_query,query,music,41
260,what is the weather of this week,what is the weather of [date : this week],weather_query,query,weather,70
261,what is julia roberts natural hair color,what is [person : julia roberts] natural hair color,qa_factoid,factoid,qa,53
262,will the sky be overcast,will the sky be overcast,weather_query,query,weather,70
263,please turn bedroom lights off,please turn [house_place : bedroom] lights off,iot_hue_lightoff,hue_lightoff,iot,29
264,calendar event with these people,calendar event with these people,calendar_set,set,calendar,8
265,mute sound from speakers,mute sound from speakers,audio_volume_mute,volume_mute,audio,4
266,today date,[date : today] date,datetime_query,query,datetime,13
267,any meeting on friday,any meeting on [date : friday],calendar_query,query,calendar,6
268,can you play my music file,can you play my music file,play_music,music,play,46
269,what is the title of the song that is playing,what is the title of the song that is playing,music_query,query,music,41
270,what's new in news express,what's new in [media_type : news express],news_query,query,news,43
271,list out the upcoming meeting,list out the upcoming [event_name : meeting],calendar_set,set,calendar,8
272,show bbc news live,show [media_type : bbc news] live,news_query,query,news,43
273,toggle wemo plug socket on,toggle [device_type : wemo plug socket] on,iot_wemo_on,wemo_on,iot,33
274,play dynamite by acdc,play [song_name : dynamite] by [artist_name : acdc],play_music,music,play,46
275,what's happening in world news today,what's happening in [place_name : world] news [date : today],news_query,query,news,43
276,where is north dakota,where is [place_name : north dakota],qa_factoid,factoid,qa,53
277,play music by queen,play music by [artist_name : queen],play_music,music,play,46
278,check emails from cindy,check emails from [person : cindy],email_query,query,email,15
279,i have a flight to take on the fifteenth,i have a flight to take on the [date : fifteenth],calendar_set,set,calendar,8
280,olly remind me about tomorrow's meeting tonight,olly remind me about [date : tomorrow's] [event_name : meeting] [timeofday : tonight],calendar_set,set,calendar,8
281,which rom com movie can i watch in theatres around new york,which [movie_type : rom com] movie can i watch in theatres around [place_name : new york],recommendation_movies,movies,recommendation,60
282,find me new comments from my facebook,find me new comments from my [media_type : facebook],social_query,query,social,63
283,hey hey,hey hey,general_greet,greet,general,19
284,where is stonehenge,where is stonehenge,qa_factoid,factoid,qa,53
285,mute the audio,mute the audio,audio_volume_mute,volume_mute,audio,4
286,remind me for tomorrow interview,remind me for [date : tomorrow] [event_name : interview],calendar_set,set,calendar,8
287,remove thursday's lunch from my calendar,remove [date : thursday's] [meal_type : lunch] from my calendar,calendar_remove,remove,calendar,7
288,what state is david lynch from,what state is [person : david lynch] from,qa_factoid,factoid,qa,53
289,lower all volume on speakers please,lower all volume on speakers please,audio_volume_down,volume_down,audio,3
290,olly brighten the lights,olly brighten the lights,hue_lightup,hue_lightup,iot,24
291,hey siri chance the current light settings,hey siri chance the current light settings,iot_hue_lightchange,hue_lightchange,iot,27
292,olly accumulation of snow predictions in buffalo,olly accumulation of [weather_descriptor : snow predictions] in [place_name : buffalo],weather_query,query,weather,70
293,phones,phones,alarm_remove,remove,alarm,1
294,open papa pear saga,open [game_name : papa pear saga],play_game,game,play,45
295,is it going to be nice tomorrow,is it going to be [weather_descriptor : nice] [date : tomorrow],weather_query,query,weather,70
296,climate,[weather_descriptor : climate],weather_query,query,weather,70
297,set a reminder for vacation next month,set a reminder for [event_name : vacation] [date : next month],calendar_set,set,calendar,8
298,what day is memorial day this year,what day is memorial day [date : this year],datetime_query,query,datetime,13
299,what did the clinic say about my exams,what did the [business_name : clinic] say about my exams,email_query,query,email,15
300,hey start an email to coworker,hey start an email to [relation : coworker],email_sendemail,sendemail,email,17
301,set up an alarm clock at one pm,set up an alarm clock at [time : one pm],alarm_set,set,alarm,2
302,how much is twelve divided by four,how much is twelve divided by four,qa_maths,maths,qa,54
303,set a reminder that i have to visit my father tomorrow,set a reminder that i have to visit my [relation : father] [date : tomorrow],calendar_set,set,calendar,8
304,remove today's meeting at evening,remove [date : today's] [event_name : meeting] at [timeofday : evening],calendar_remove,remove,calendar,7
305,resume the reading of the french lesson,[player_setting : resume] the reading of the [audiobook_name : french lesson],play_audiobook,audiobook,play,44
306,could you describe that object please,could you describe that object please,qa_definition,definition,qa,52
307,find me a ride to the mall of america please,find me a ride to the [place_name : mall of america] please,transport_taxi,taxi,transport,67
308,report alarm settings,report alarm settings,alarm_query,query,alarm,0
309,order general t'so eggroll to go,order general [food_type : t'so eggroll] to go,takeaway_order,order,takeaway,64
310,tell me the brief definition of evacuation,tell me the brief definition of [definition_word : evacuation],qa_definition,definition,qa,52
311,what is my location,what is my location,general_quirky,quirky,general,21
312,i need a meeting with the cfo on thursday,i need a [event_name : meeting] with [relation : the cfo] on [date : thursday],calendar_set,set,calendar,8
313,delete call newspaper from my vacation list,delete call newspaper from my [list_name : vacation list],lists_remove,remove,lists,37
314,is umbrella necessary for my outing,is [weather_descriptor : umbrella] necessary for my outing,weather_query,query,weather,70
